Park Name,Category,count,Nativeness
Great Sand Dunes National Park and Preserve,Reptile,8,Native
Great Sand Dunes National Park and Preserve,Vascular Plant,552,Native
Great Sand Dunes National Park and Preserve,Vascular Plant,39,Not Native
Great Smoky Mountains National Park,Amphibian,57,Native
Great Smoky Mountains National Park,Bird,239,Native
Great Smoky Mountains National Park,Bird,16,Not Native
Great Smoky Mountains National Park,Fish,83,Native
Great Smoky Mountains National Park,Fish,6,Not Native
Great Smoky Mountains National Park,Insect,72,Native
Great Smoky Mountains National Park,Insect,1,Not Native
Great Smoky Mountains National Park,Invertebrate,2,Native
Great Smoky Mountains National Park,Mammal,78,Native
Great Smoky Mountains National Park,Mammal,9,Not Native
Great Smoky Mountains National Park,Nonvascular Plant,480,Native
Great Smoky Mountains National Park,Reptile,41,Native
Great Smoky Mountains National Park,Vascular Plant,1580,Native
Great Smoky Mountains National Park,Vascular Plant,424,Not Native
Guadalupe Mountains National Park,Amphibian,10,Native
Guadalupe Mountains National Park,Amphibian,1,Not Native
Guadalupe Mountains National Park,Bird,271,Native
Guadalupe Mountains National Park,Bird,1,Not Native
Guadalupe Mountains National Park,Crab/Lobster/Shrimp,4,Native
Guadalupe Mountains National Park,Fish,3,Not Native
Guadalupe Mountains National Park,Fungi,65,Native
Guadalupe Mountains National Park,Insect,79,Native
Guadalupe Mountains National Park,Invertebrate,3,Native
Guadalupe Mountains National Park,Mammal,74,Native
Guadalupe Mountains National Park,Mammal,1,Not Native
Guadalupe Mountains National Park,Nonvascular Plant,2,Native
Guadalupe Mountains National Park,Reptile,56,Native
Guadalupe Mountains National Park,Slug/Snail,53,Native
Guadalupe Mountains National Park,Vascular Plant,973,Native
Guadalupe Mountains National Park,Vascular Plant,45,Not Native
Haleakala National Park,Amphibian,3,Not Native
Haleakala National Park,Bird,21,Native
Haleakala National Park,Bird,23,Not Native
Haleakala National Park,Crab/Lobster/Shrimp,5,Native
Haleakala National Park,Crab/Lobster/Shrimp,11,Not Native
Haleakala National Park,Fish,6,Native
Haleakala National Park,Fungi,54,Native
Haleakala National Park,Insect,588,Native
Haleakala National Park,Insect,369,Not Native
Haleakala National Park,Invertebrate,17,Native
Haleakala National Park,Invertebrate,19,Not Native
Haleakala National Park,Mammal,2,Native
Haleakala National Park,Mammal,13,Not Native
Haleakala National Park,Nonvascular Plant,120,Native
Haleakala National Park,Nonvascular Plant,1,Not Native
Haleakala National Park,Reptile,1,Native
Haleakala National Park,Reptile,9,Not Native
Haleakala National Park,Slug/Snail,35,Native
Haleakala National Park,Slug/Snail,9,Not Native
Haleakala National Park,Spider/Scorpion,24,Native
Haleakala National Park,Spider/Scorpion,21,Not Native
Haleakala National Park,Vascular Plant,469,Native
Haleakala National Park,Vascular Plant,497,Not Native
Hawaii Volcanoes National Park,Amphibian,4,Not Native
Hawaii Volcanoes National Park,Bird,37,Native
Hawaii Volcanoes National Park,Bird,41,Not Native
Hawaii Volcanoes National Park,Crab/Lobster/Shrimp,35,Native
Hawaii Volcanoes National Park,Crab/Lobster/Shrimp,18,Not Native
Hawaii Volcanoes National Park,Fish,4,Native
Hawaii Volcanoes National Park,Insect,1018,Native
Hawaii Volcanoes National Park,Insect,410,Not Native
Hawaii Volcanoes National Park,Invertebrate,109,Native
Hawaii Volcanoes National Park,Invertebrate,55,Not Native
Hawaii Volcanoes National Park,Mammal,2,Native
Hawaii Volcanoes National Park,Mammal,13,Not Native
Hawaii Volcanoes National Park,Nonvascular Plant,111,Native
